Title,Art Type,Facility,Image,Artist,Artist Profile URL,Partnership,Description,Address,City,State,Postal Code,Source URL Text,Source URL ,latLong,isActive,imagePath
Dolce Hayes Mansion -  Collection,"Architecture, Paintings",Hayes Mansion,,Various,,City of San Jose,"The paintings selected for Hayes Mansion feature Bay Area artists who either explore abstraction and pattern, or who celebrate California’s landscape. Several forces, not least of which are the region’s qualities of light, mood and atmosphere, have combined to give Northern California its unique importance in landscape and abstract painting.

Installation → Artist
Ornamental Iron Work Fencing → Mike Bondi
Stained Glass → Alan Masaoka
Stained Glass → Tom Stanton
Ornamental Niches → Penelope Fried
Exterior Lighting → Pam Morris
During its renovation in 2006, funds were allocated to acquire artwork that would enhance the enjoyment of the facility by visitors and local community alike. The paintings selected for Hayes Mansion feature Bay Area artists who either explore abstraction and pattern, or who celebrate California’s landscape. Several forces, not least of which are the region’s qualities of light, mood and atmosphere, have combined to give Northern California its unique importance in landscape and abstract painting.

Title → Artist
Labor Theory of Value → Rick Arnitz
Hayes Green → Brian Blood
Rolling Meadows → Jamie Brunson
Olema Hills → Willard Dixon
Westering (Littorialis) → Wade Hoefer
Tropic Fruit → Amy Kaufman
Orchard 4 → Jeff Long
Summer Storm → Carloe Pierce
Ochre Without Window → Silvia Poloto
",200 Edenvale Ave,San Jose,CA,95136,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32333/636715828609470000,"-121.8194551,
          37.2593775",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Dolce%20Hayes%20Mansion_Various.jpeg
Dreaming F.I.D.S.,Interactive,San Jose International Airport Terminal B - Gate 26,,Ben Hooker + Shona Kitchen,,City of San Jose,"Airport information and security systems animate a dynamic aquatic ecosystem of schooling fish, underwater cameras and video screens. This artwork is both a celebration of the beauty of complex technological and organic systems and a statement about the ubiquitous prevalence of surveillance in our lives. This project was developed in collaboration with aquatic specialists and the ongoing welfare of the fish is monitored regularly.",1701 Airport Boulevard,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32321/636715765090400000," -121.9149771,
          37.3571484",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Dreaming%20F.I.D.S_Ben%20Hooker%20%2B%20Shona%20Kitchen.jpeg
ECHO,"Architecture, Interactive ",4th Street Garage,,Cork Marchesci,,City of San Jose,"The design of Echo grew out of discussions between the artist and architect and their desire to define the nighttime identity of the building and enliven the nighttime identity of the downtown. On San Fernando Street, the vertical spaces of the elevator towers read as monolithic volumes of light in three colors. As one color slowly dims another color is brought up in intensity to fill the volume of space. The elevators themselves have standard incandescent lights and are visible traveling through the volume of color. Centered within the nine foot by six foot bays of the building, behind the perforated metal façade, are 24 three-foot squares of neon light controlled by individual random fading transformers. The rectangular mass created by the 24 boxes illuminates the building façade. The squares of light float, change color, and fade constantly, but subtly, create new patterns and compositions.",44 S. 4th Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32337,"-121.886709338643,
          37.3368918509967",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Echo_Cork%20Marchesci.jpeg
eCLOUD,"Interactive, Sculpture",San Jose Internatinal Airport Terminal B - Concourse,,"Nik Hafermaas, Dan Goods and Aaron Koblin",,"City of San Jose, Adobe Foundation","In this dynamic artwork, thousands of switchable glass squares suspended from the ceiling continuously change from opaque to transparent with the transmission of real-time weather data.  Explore current weather conditions around the world on the artwork’s dynamic display.",1701 Airport Blvd,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32321/636715765090400000," -121.9149771,
          37.3571484",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/eCloud_Nik%20Hafermaas%2C%20Dan%20Goods%20and%20Aaron%20Koblin.jpeg
Enchanted Forest and Almaden Valley,Mural,Almaden Community Center and Library,,Evans & Brown,https://evansandbrown.com/,City of San Jose,"Almaden Valley is a two panel mural that flanks the stage in the community room. The left panel is a representation of the agrarian past of the Almaden Valley. The image depicts a man carrying a bushel basket. In the background is an oak tree symbolizing the eternal quality of the natural world. The right panel depicts a female figure with children dancing around her. She faces the children with her arms stretched upward seeming to hold a transparent sphere. The sphere symbolizes the limitless possibilities of the future.  Both panels are painted on a gilt silver background (gold over silver). A limited palette of cinnabar-colored pigment is used. The silver and cinnabar reference the local mercury mines that played an important part in the development of the Almaden area. The mural has a stylistic affinity to the murals created through the federal WPA program in the 1930’s and 40’s. The connection to this rich heritage is important to artists’ vision for the work.  Evans and Brown also created two decorative murals for the Children’s Areas in the Library and Community wings of the building. As its name conveys, Enchanted Forest suggests themes of a whimsical enchanted forest.",6445 Camden Avenue,San Jose,CA,95120,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32341," -121.865548826801,
         37.2207169102402",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Enchanted%20Forest%20and%20Almaden%20Valley_Evans%20_%20Brown.jpeg
Figure Holding the Sun,Sculpture,Fairmont Plaza,,Italio Sganga,https://www.italoscanga.org/,City of San Jose,"Figure Holding the Sun is one of only a few public pieces created by artist Italo Scanga. An innovative neo-Dadaist, neo-Expressionist and neo-Cubist multimedia artist, Scanga made sculptures of ordinary objects and created prints, glass and ceramic works. This sculpture was created at a time when the artist talked about his work being “very colorful, very joyous, happy work. It was about the good things in life, not about the horrible things.",110 South Market Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32343,"-121.890024364468,
          37.33368095",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Figure%20Holding%20the%20Sun_Italio%20Sganga.jpeg
Five Skaters,Sculpture,Guadalupe River Park,,Larry Sultan and Mike Mandel,https://www.thecorner.net/,City of San Jose,"Five Skaters commemorates the San Jose region’s unique concentration of professional figure skating champions: Brian Boitano, Peggy Fleming-Jenkins, Rudy Galindo, Debi Thomas and Kristi Yamaguchi. Five Skaters honors the art and sport of figure skating, San Jose’s local champions and others who have contributed to its vitality, tradition and popularity. The artwork consists of three parts: five monumental columns, a large terrazzo ice rink, and three winners' podiums. The 20 foot-tall columns are clad with mosaics of black, white and gray ceramic tiles featuring photographic images of the five San Jose Area champions and convey the spirit of championship, including the pressures of competition, the scrutiny of the judges, the presence of the live audience, and the watchful eye of the press.The oval-shaped terrazzo rink is surrounded by built-in seating. Thin metal strips are embedded in the terrazzo curve throughout the rink creating patterns like those etched in ice by skate blades. Complementing these curves, text conveying the personal recollections of each champion swirl about the ice. The surface of the rink also features five recessed niches; these contain display photographs and personal memorabilia of the San Jose area figure skating champions. The final element of the work is a set of three winners' circles, cylindrical disks of varying heights; these reference the award podiums for medalists. They are designed so that anyone can stand on them and experience a personal moment of championship.",525 W Santa Clara St,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32345 ," -121.901261906758,
          37.33277705",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Five%20Skaters_Larry%20Sultan%20and%20Mike%20Mandel.jpeg
FOGWASTE,Interactive ,City-wide,,Brett Snyder and Claire Napawan,,City of San Jose,"FOGWASTE is a public art installation and community outreach effort. The project targets communities with a three-phase approach that together reinforce the important work of DOT’s sewer maintenance staff, the importance of the community in understanding of FOG (Fat Oil and Grease), the sanitary sewer infrastructure, and the potential actions that residents can take to achieve a positive impact on the sewer system, the environment, and their communities. The project elements work together to stimulate community curiosity, encourage participation in best household practices, and promote environmental stewardship:Doorhanger:  Addressing the issue directly at the household, a bold graphic poster is distributed as a door hanger by DOT crews in the vicinity of recent sanitary sewer maintenance activity. The poster features simple and engaging icons to educate about various FOG wastes and common household products not to be put in sinks; the poster also brings awareness to features of the infrastructure system. Printed in the project’s signature electric green color, the door hanger connects to the other art elements described below. Multi-lingual text provides explanation and vocabulary for a more informed community. Manhole Marker: Bringing attention to the infrastructure below the streets, manholes of recently serviced sewer lines were painted in the project’s signature electric green color, creating awareness of this largely unnoticed infrastructure. Painting of the manholes coincided with the distribution of door hangers creating a connection from the front door to the system under the street. Maintenance Truck Graphic: A bold vinyl graphic was applied to select sewer maintenance trucks traveling to the target neighborhoods that features a design that calls out the 24/7 sewer maintenance service provided by the City. The vinyl graphic will be rendered in the project’s signature electric green color reinforcing the connection between the truck, door hangers and manhole markers and the workforce that is constantly on the move to manage the system. DistrictCity Wide Report a concern (408) 793-4330 or publicart@sanjoseca.gov",1404 Mabury Road,San Jose,CA,95133,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2551/1396,"  -121.8615136,
          37.3720834",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/FOGWASTE_Brett%20Snyder%20and%20Claire%20Napawan.jpeg
Foretokens,Sculpture,Rancho Del Pueblo Golf Course,,Barbara McCarren,https://feldmangallery.com/,City of San Jose,"Foretokens is a series of cast bronze amulets attached to sculptural bases placed at every tee at the Rancho Del Pueblo Golf Course. The idea of icons of power (lucky tokens) affecting fate is a universal concept, inspired the artist to create nine bronze talismans for the nine-hole golf course including: a lucky penny, a horseshoe, a wishbone, a four-leaf clover, a hand milagro, a scarab, a rabbit’s foot, a bat, and a Zuni bear fetish.",1649 Hermocilla Way,San Jose,CA,95116,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32347," -121.85570887639,
          37.3459656",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Foretokens_Barbara%20McCarren.jpeg
Frontier Village Birdhouses,Sculpture,Edenvale Park,,Jon Rubin,https://www.jonrubin.net/,City of San Jose,"Edenvale Park is the former location of Frontier Village, a western-themed amusement park that thrived before closing in 1980. To demarcate the site of Frontier Village, artist Jon Rubin created bird houses in five locations in the current park that geographically correspond to buildings and amusements that once existed during Frontier Village's heyday: the Railroad Station; the Main Entrance Log Tower Structures; the Mine Ride; the Old School House; and Main Street. Attached to each pole is a plaque that depicts historical photos and text providing context for the amusement park buildings that once existed. The interpretive plaque also describes the species of birds most likely to occupy this new house.",200 Edenvale Ave.,San Jose,CA,95136,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32349," -121.8194551,
          37.2593775",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Frontier%20Village%20Birdhouses_Jon%20Rubin.jpeg
Fuel Tank,Sculpture,Fire Station 17,,Gordon Huether,https://gordonhuether.com/,City of San Jose,"Fuel Tank brings together a mirror-polished aluminum recycled jet fuel tank and pieces of dichroic glass to create a 20' sculpture that suggests an abstracted flame. The sculpture is highly reflective, both in the sheen of the aluminum and the colored reflection of the dichroic glass. Dichroic glass is highly light sensitive and shifts in color dependent on the angle of viewing and direction of light. Through the day, sunlight interacts with the glass to create moving patterns of colored light across the ground; by night, lit from within, the artwork glows.",5170 Coniston Way at Blossom Hill Rd,San Jose,CA,95119,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32351,"  -121.8852113,
          37.2473593",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Fuel%20Tank_Gordon%20Huether.jpeg
Garden of Strength,"Sculpture, Architecture",Mayfair Community Center,,Fernanda D'Agostino,https://www.fernandadagostino.com/,City of San Jose,"This work was inspired by the diversity, and the rich cultural history, of the Mayfair area and by the spirit of growth and renewal embodied in the flourishing Mayfair Community Garden adjacent to the site, one of the City's oldest community gardens. Garden of Strength is comprised of three distinct artwork elements, Bienvenidos, Garden of Life, and The Three Sisters. Bienvenidos is an installation of art glass windows with infused photographic images that form an archway in the Center's entrance. Garden of Life is a richly textured group of elements in the Center's tower and utilizes nichos to present a series of objects. The elements include a glass mosaic niche patterned in celestial designs; a bronze apricot branch with glass apricots; a timeline of Mayfair historic images on glass; and a video installation featuring images of local history and culture. The Three Sisters are three stone sculptures that depict the trilogy of squash, beans and corn, fundamental and sustaining food elements in many cultures.",2039 Kammerer Ave.,San Jose,CA,95116,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32353," -121.844250786569,
          37.3509260013187",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Garden%20of%20Strength_Fernanda%20D_Agostino.jpeg
Groundwork and The Shadow Frieze,"Architecture, Painting",Hillview Branch Library ,,Amy Trachtenberg,https://www.amytrachtenberg.com/,City of San Jose,"Addressing the mid-century agricultural labor history in East San José, the artist worked with the project architects to design the shape of the rotunda, the columns, the terrazzo flooring and window openings. Each of the eight free-standing structural columns is composed of a stack of tractor tires; curved staves milled from recycled old-growth redwood, which are evocative of a harvest basket; the stainless steel can that pays homage to the canneries; and madrone branches, an indigenous tree revered by the local Ohlone Indians. Trachtenberg was also captivated by the intrinsic beauty of the farmed landscape, inspiration which she captured and reflected in the other component of Groundwork: a series of twenty-six paintings called The Shadow Frieze. The paintings that encircle the rotunda below the window openings evoke the aerial views of tilled earth, orchards, and crop rows.",1600 Hopkins Drive,San Jose,CA,95122,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32355,"-121.831127134749,
          37.33778075",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Groundwork%20and%20The%20Shadow%20Frieze_Amy%20Trachtenberg.jpeg
Guardians of the Garden City,Sculpture,Fire Station 19,,Kipp Kobayashi and Marta Perlas,https://www.kippkobayashi.com/,City of San Jose,"The artwork creates iconic columns at the entrance to the Fire Station 19. The concept for the columns was influenced by the multi-functional role each firefighter plays on the team. Also it was influenced by the community and its diversity, as well as how the community relates to and perceives the firefighters (and vice versa). The 8’ tall columns bases are articulated like the equipment fittings found on the rigs and hydrants. On the stainless steel columns are etched images of firefighters and historic firefighters from cultures from throughout history: 1) Wildland firefighter, 2) Explorers (youth firefighter program), 3) Vigiles Urbani (the first organized fire brigade of Europe), 4) Knight of Malta (where the current Maltese cross on firefighters emblem originated), 5) Edo Firefighter (early Japanese firefighter) and 6) Sapeurs-Pompiers (the first professional firefighters from the French Army of the 19th century). Each column is divided into three parts that can be turned individually, like a section of a mix ‘n match puzzle so that the figures can be morphed into any number of combinations.",3292 Sierra Road,San Jose,CA,95132,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32357," -121.847159141433,
          37.3995842367898",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Guardians%20of%20the%20Garden%20City_Kipp%20Kobayashi%20and%20Marta%20Perlas.jpeg
Hand in Hand,Sculpture,Camden Community Center ,,Michael Stutz,,City of San Jose,"The work depicts a small hand in the middle of a large hand, suggesting relationship between adult and child, large and small.  Located atop of a small mound at the entryway into the community center and adjacent to the playing fields, it serves to greet people as they come to the facility. Viewers regularly see children waving at the artwork from cars as they enter the community facility.",3369 Union Ave,San Jose,CA,95124,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32359," -121.9312634,
          37.2513184",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Hand%20in%20Hand_Michael%20Stutz.jpeg
Hands,Mural,San Jose International Airport - Consolidated Rental Car Garage,,Christian Moeller,,City of San Jose,"On the east side of the Airport's Consolidated Rental Car Garage, the hands of 53 Silicon Valley residents greet the world from a mural created with plastic pixels affixed to architectural metal mesh, spanning 1,200 feet and standing seven stories high.",1701 Airport Blvd,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32321/636715765090400000," -121.9149771,
          37.3571484",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Hands_Christian%20Moeller.jpeg
Hilton Hotel Collection,"Painting, Sculpture",Hilton San Jose,,Various,,City of San Jose,"Title → Artist
Over the Guadalupe → Barbara Kasten
Obor → Ed Moses
Wanderers → Selina Trieff
Honolulu Hay Dos → Rupert Garcia
Scissors, Paper, Stone → Katherine Levin-Lau
 
",300 South Almaden Blvd,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2569/1396," -121.891021,
          37.329362",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Hilton%20Hotel%20Collection_Various.jpeg
Ice Play,Mural,Sharks Ice Center at San Jose,,JoeSam,,City of San Jose,"The word “ICE” painted in colorful letters on the corrugated metal façade, creates a vivid backdrop to the 7 aluminum figures, painted in brilliant colors and reflecting San Jose’s cultural diversity. These figures range in height from 15 - 18 feet, represent ice dancing, skating and playing hockey, and illustrate the fun and excitement of ice skating. Two of the figures represent enthusiastic spectators. Artist JoeSam stated that this piece is about warmth, color, and humor as seen through these playful figures.","1500 S 10th St, San Jose",San Jose,CA,95112,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32361," -121.8642665,
          37.3194275",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Ice%20Play_JoeSam.jpeg
Idea Tree,Sculpture,San Jose McEnery Convention Center,,Soo-in Yang,http://lifethings.in/?ckattempt=2,City of San Jose,"Creating a social space bringing together Convention Center event goers and the general public, the project’s central element is a 40’ diameter canopy, supported by three groups of columns. The canopy is created with six interlocking steel rings intricately held in tension by steel cables, covered by translucent polycarbonates 'leaves.'Critical to Yang’s concept for the artwork is the gathering of spoken ideas. Adjacent to the Tree is the project’s sculptural sound “booth” (the “Seed”) where a sensor activated, audible prompt, encourages community to leave a short voice message.  Once a day before morning, messages are wirelessly transmitted to sound equipment housed at the center of the canopy (the “Fruit”), where audio messages are reassembled to create the haiku-like whispers within the Tree. Some whispers remain over time; others fall away into an ever-evolving ambient music-like soundscape that the artist describes as a “self-sustaining ecology of ideas",150 W San Carlos St,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32363,"-121.889178504024,
          37.3302931166692",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Idea%20Tree_Soo-in%20Yang.jpeg
Japanese American Internment Memorial,Sculpture,Federal Building,,Ruth Asawa,https://ruthasawa.com/,City of San Jose,"This bronze bas-relief, located outside the Federal Building, is a reminder of the injustices committed against the Japanese American people and of their strength of spirit. On one side of the memorial the panels depict life prior to the internment, showing a robust, prosperous community. The other side portrays various aspects of the history and reality of life in the internment camps. There are images of Franklin Roosevelt signing Executive Order 9066 issuing the internment policy, notices for internment being sent to people of Japanese ancestry, the daily of life of the camps, and adjustment after the war. The final panel portrays the 1988 Redress in which a formal apology and compensation was issued to every survivor. In a column at the end of the wall, many \""mon\"" (traditional family crests) sent in by community members are also displayed. The memorial visualizes the inhumanity and strife of the internment camps and reminds the public that fear of the “other” can lead to broad spread racism, prejudice, and discrimination.",300 S. First Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32365," -121.893593,37.347598",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Japanese%20Internment%20Memorial_Ruth%20Asawa.png
Jeffrey Fontana Memorial,Sculpture,Fontana Park,,Gary Alsum,,City of San Jose,"This artwork was commissioned to commemorate Jeffrey Fontana, the young San Jose police officer killed in the line of duty.  Mr. Fontana was a 24-year-old Woodside resident and rookie police officer patrolling the upscale Almaden Valley neighborhood when he was fatally shot during a routine stop.",McAbee Road & Meridian Avenue,San Jose,CA,95120,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2577/1396,"37.2325127,
-121.8825196",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Jeffrey%20Fontana%20Memorial_Gary%20Alsum.jpeg
Jump Cuts,"Interactive, Sculpture ",Camera Cineplex,,Diller + Scofidio with Paul Lewis,https://dsrny.com/,City of San Jose,"The movie marquee became a familiar downtown architectural feature with the popularization of cinema in the 1920's and 1930's. Its objective of transmitting information to the street was fully realized at night with illuminated displays as a form of urban seduction. A contemporary interpretation of the marquee suggests not only technical revision for this transmission of information, but a rethinking of urban communication. Jump Cuts reinterprets the mechanism of the marquee through sculptural, electronic and video elements, broadcasting images and texts, both informational and contemplative, to the street. The artwork transforms the visual accessibility of the lobby by alternating between the actual view from the street and live video views from within, thus flipping the building inside-out and back, electronically. The project includes twelve 5' by 6'- 8"" liquid-crystal display panels mounted on the outside of the glass facade of the building. By day, viewers see text permanently etched onto the surface of the glass panels. From the outside, the text reads, ""Truth is stranger than fiction is stranger than truth..."" From inside the lobby, the text reads, ""Life imitates art imitates life..."" In the evening, the LCD panels are transformed into video screens. Images projected onto the screens sequence between movie trailers and live feed from video cameras mounted inside the lobby. In between these sequences, the screens become transparent, allowing full view of the interior lobby. A computer controls all of the dynamic elements of the marquee, including activating the panels, turning them translucent and providing the surface upon which images can be projected. The image sequencing is preprogrammed for the twelve months of the year to begin operation at dusk and continue through midnight.",201 S. Second Street,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32367," -121.8872454,
          37.3331523",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Jump%20Cuts_Diller%20%2B%20Scofidio%20with%20Paul%20Lewis.jpeg
La Vida en Dichos,Mural,Biblioteca Latinoamericana,,Pilar Aguero,,City of San Jose,"Five murals composed of numerous panels of various sizes, put together like a puzzle. The themes of each mural relate to San Jose: the land and valley; education; heroes and history; love and art; and ancestors, legacy and future. Images are woven together thematically by Spanish dichos, popular Spanish proverbs and sayings that communicate simple wisdom. The dichos are translated into English through 3-dimensional text mounted on the adjacent walls",921 S 1st St,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32369,"   -121.879992685909,
          37.3222762706032",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/La%20Vida%20en%20Dichos_Pilar%20Aguero.jpeg
Lightlines and Wall of Birds In Flight,Sculpture,East San Jose Carnegie Branch Library,,Joyce Cutler Shaw,,City of San Jose,"East San Jose Carnegie Branch Library features two public art elements by Joyce Cutler Shaw. Lightlines, a sculpture fabricated from aluminum coils, is suspended from the building's ceiling trusses in and around the main entrance and along the full length of the east/west hallway. Above: Lightlines, extending down the main corridor of the Library. Working with the community, Cutler Shaw explored the shapes, forms, and cultural and natural elements of the neighborhood. She identified imagery that speaks to this area and location, out of which she created a visual vocabulary she calls the East San Jose Carnegie Calligraphy. From this imagery she created laser cut, iridescent acrylic figurative elements that are suspended from the aluminum coils of Lightlines; these animate the artwork with reflective light. Wall of Birds in Flight is an installation on the Library's west wall in the children's area. The artwork plays on imagery of local birds in flight - some in silhouette, others in great detail and back-lit. The work brings natural elements of the outdoor environment - the neighborhood's abundant bird life - indoors. ",1102 E. Santa Clara St.,San Jose,CA,95116,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32371,"-121.868469587194,
          37.3465681916598",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Lightlines%20and%20Wall%20of%20Birds%20in%20Flight_Joyce%20Cutler%20Shaw.jpeg
Lineage,Sculpture,Fire Station 35,,Tom Drugan and Laura Haddad,https://haddad-drugan.com/,City of San Jose,"Lineage is composed of three sculptural elements creating a connective line that joins Fire Station 35 with the Southside Community Center: Water and light activate the Strata Wall, Tule Reed Drain, and Community Beacons. The art connects the viewer with the community’s history from past to future through forms, artifacts, and imagery. From early stories celebrating the healing power of local springs, to the sustenance of the community through agriculture, and as a key element in the service of fire fighters, water is the essential component to life in the valley. Water flows from the Tule Reed Drain into a runnel on top of the Strata Wall, and then cascades onto a splash stone and into the landscape. Like water, light sustains the community from plant growth to the flow of electric energy essential to high tech. Sunlight reveals the rich colors of the art and brings the solar-powered Community Beacons to life at night, while electric light illuminates layers in the Strata Wall.",135 Poughkeepsie Rd,San Jose,CA,95119,City of San Jose,https://www.sanjoseca.gov/home/showdocument?id=32373," -121.805053999527,
          37.2513694811246",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Lineage_Tom%20Drugan%20and%20Laura%20Haddad.jpeg
Los Viajeros Vienen a San Jose,Mural,Biblioteca Latinoamericana Branch Library,,Maria Alguilar,,City of San Jose,"The work is a story of two travelers on a yellow horse visiting San Jose. The rest of the mural illustrates different venues, most particularly the Freedom Train. The travelers departing from the Freedom Train illustrate the vast ethnic groups that live in the City.In 2010, this work was moved from its original location at the San Jose International Airport to installed at the Biblioteca Latinoamericana Branch Library.",921 S 1st St,San Jose,CA,95110,City of San Jose,https://www.sanjoseca.gov/Home/Components/FacilityDirectory/FacilityDirectory/2587/1396?npage=3,"-121.879992685909,
          37.3222762706032",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Los%20Viajeros%20Vienen_Maria%20Alguilar.jpeg
Lupe the Mammoth,Sculpture,Guadalupe River,,Freya Bardell and Brian Howe (Greenmeme Studio),https://greenmeme.com/,City of San Jose,"One July Saturday in 2005, a San Jose resident took a walk with his dog along the Guadalupe River, just north of the San Jose International Airport. He recognized that the objects poking out of the ground that day were clearly unusual -- he had discovered the tusks and skeleton of a mammoth. 

Lupe the Mammoth was inspired by this discovery. The artwork is a technology-driven design with hand-crafted sensibilities. While the actual mammoth was a juvenile and about 8’ tall, the sculpture measures 12.5’ in height and is made of galvanized steel. The artwork was painstakingly fabricated at Paramount Roll & Forming; bent piece by piece and fit into a notched support structure after which it was galvanized for its final finish.  The artwork is titled “Lupe,” but has quickly assumed the nickname Lupe the Mammoth as a popular post on social media; #LupeTheMammoth.",Guadalupe River at Trimble ,San Jose,CA,95113,City of San Jose,https://www.sanjoseca.gov/home/showpublisheddocument/32375/636716039829770000," -121.937552,
          37.38122",TRUE,https://raw.githubusercontent.com/codeforsanjose/heartofthevalley/search_feature/src/assets/CityofSanJoseImages/Lupe%20the%20Mammoth_Freya%20Bardell%20and%20Brian%20Howe%20(Greenmeme%20Studio).jpeg
